,dataset,participant,muscle,test,mvc
370,Romain2017,5,infraspinatus,test 04,0.00035613691508871716
371,Romain2017,5,infraspinatus,test 05,6.518248189632646e-05
372,Romain2017,5,infraspinatus,test 08,0.0005877792553365976
373,Romain2017,5,infraspinatus,test 09,0.0007372670006336749
374,Romain2017,5,infraspinatus,test 10,0.0002702682686150197
375,Romain2017,5,infraspinatus,test 13,8.990663268613871e-05
376,Romain2017,5,subscapularis,test 00,8.688987789210904e-05
377,Romain2017,5,subscapularis,test 03,0.00010060457038702623
378,Romain2017,5,subscapularis,test 04,0.00010557313161583204
379,Romain2017,5,subscapularis,test 05,0.00027966347275074364
380,Romain2017,5,subscapularis,test 08,0.00016569112350522372
381,Romain2017,5,subscapularis,test 09,0.00011539364863419662
382,Romain2017,5,subscapularis,test 10,0.0004101147378287358
383,Romain2017,5,subscapularis,test 13,4.864583172261296e-05
384,Romain2017,6,upper trapezius,test 00,0.0003713133113076172
385,Romain2017,6,upper trapezius,test 03,0.0003502930267138733
386,Romain2017,6,upper trapezius,test 04,0.000291825443059151
387,Romain2017,6,upper trapezius,test 05,0.0002007842070346005
388,Romain2017,6,upper trapezius,test 08,0.0003191316578196607
389,Romain2017,6,upper trapezius,test 09,0.00017294640279878718
390,Romain2017,6,upper trapezius,test 10,3.420716918832588e-05
391,Romain2017,6,upper trapezius,test 13,0.00021232520112467415
392,Romain2017,6,anterior deltoid,test 00,0.0002744547299079309
393,Romain2017,6,anterior deltoid,test 03,0.00035162501444315365
394,Romain2017,6,anterior deltoid,test 04,0.00026571331027688594
395,Romain2017,6,anterior deltoid,test 05,2.2688574795070773e-05
396,Romain2017,6,anterior deltoid,test 08,8.88045611258358e-05
397,Romain2017,6,anterior deltoid,test 09,8.27927905213287e-05
398,Romain2017,6,anterior deltoid,test 10,7.313891444011441e-05
399,Romain2017,6,anterior deltoid,test 13,0.00028087630888565967
400,Romain2017,6,middle deltoid,test 00,0.00026579385865715087
401,Romain2017,6,middle deltoid,test 03,0.0002938613689578708
402,Romain2017,6,middle deltoid,test 04,0.0002668773954097076
403,Romain2017,6,middle deltoid,test 05,0.00018909639963293602
404,Romain2017,6,middle deltoid,test 08,0.00021977916125259843
405,Romain2017,6,middle deltoid,test 09,0.00020224587280521185
406,Romain2017,6,middle deltoid,test 10,9.239463635982946e-06
