,dataset,participant,muscle,test 00,test 01,test 02,test 03,test 04,test 05,test 06,test 07,test 08,test 09,test 10,test 11,test 12,test 13,test 14,test 15
428,Landry2015_1,42,serratus anterior,0.3297990475790588,,0.2630351134324033,0.3181915500624377,0.33995091548732176,0.017576077083021932,,,0.28742969395693446,0.22857040961692912,0.04134046838660102,,,,0.3362485918558184,
429,Landry2015_1,42,subscapularis,0.036006769672674015,,0.04419338715838269,0.031088561883212393,0.030153730323250083,0.03635052043495215,,,0.018830497806306003,0.028907186085293256,0.06157396286863684,,,,0.021621448214226877,
430,Landry2015_1,42,supraspinatus,0.16601623205399796,,0.1696250425188002,0.12409340257216828,0.1644959694935512,0.18776807051469332,,,0.11366817904949601,0.13541565771912523,0.012522826915453235,,,,0.08775286288107233,
431,Landry2015_1,42,upper trapezius,0.2989120130831887,,0.24380831630057384,0.2595344613245361,0.2653980403838581,0.24268314185444642,,,0.0799845851311355,0.12247798079550595,0.045273893902510735,,,,0.10647882040682577,
432,Landry2015_1,43,anterior deltoid,0.11386390853964418,,0.11629530062189798,0.1980047847216427,0.1527819942376869,0.049118993376178956,,,0.03303123129903862,0.018516934485769843,0.0072799516126405015,,,,0.11665882719170213,
433,Landry2015_1,43,infraspinatus,0.01739170344593872,,0.038844256864867095,0.025293424095120462,0.02657468365548812,0.005313930999323681,,,0.007383633640618375,0.033320462186516776,0.003943279985951693,,,,0.03242014461448823,
434,Landry2015_1,43,lower trapezius,0.08820423747628434,,0.19422471898602922,0.12496286527577131,0.08416374931405847,0.09772493377243327,,,0.04534331704131452,0.07976614452712225,0.01731474333609317,,,,0.10013259829581359,
435,Landry2015_1,43,middle deltoid,0.13942639902190493,,0.09348703123498156,0.12942798118048485,0.14078834646278549,0.13139954540974944,,,0.06515282888048578,0.051387181474731744,0.007413314606531242,,,,0.08506555028983906,
436,Landry2015_1,43,posterior deltoid,0.09567753595793119,,0.07605848708158901,0.06895998053442705,0.0986745736976649,0.18046946644523523,,,0.0902524049473237,0.09139096200792936,0.05192880404417216,,,,0.04878694395772839,
437,Landry2015_1,43,serratus anterior,0.019145171261265928,,0.07436057844955858,0.03213507360606211,0.023068063439913803,0.010204842247344676,,,0.012213407134630363,0.017266165416428503,0.010738615471739533,,,,0.045018614458104254,
438,Landry2015_1,43,subscapularis,0.02497477986252425,,0.01790050000578053,0.027040276669967653,0.03419446029981251,0.05808296929298778,,,0.012189566072239692,0.0395165758496637,0.04732587010519627,,,,0.012053585121056443,
439,Landry2015_1,43,supraspinatus,0.16443614117381775,,0.1389983632573515,0.11180911424762678,0.17692201979156813,0.19656984696069743,,,0.11157490721434259,0.08672889512433267,0.08937887001987085,,,,0.07935268163096777,
440,Landry2015_1,43,upper trapezius,0.13824283476553756,,0.04485162902150949,0.12412053447820283,0.15344665059979573,0.134087514934702,,,0.10430096970868366,0.0547595904005462,0.03519748012481582,,,,0.04387579962122308,
441,Landry2015_1,44,anterior deltoid,0.3561014175880694,,0.054358089804074826,0.5543509792325473,0.3817498726591433,0.03235600641669321,,,0.21213220026110655,0.05609761609343109,0.01736505908965466,,,,0.37239305000924205,
442,Landry2015_1,44,infraspinatus,0.020186458856172575,,0.06316345291188065,0.053099952209040104,0.04721230460767882,0.016662309839845426,,,0.026883669881320554,0.05995523329502803,0.00787000251702453,,,,0.03327050169734759,
443,Landry2015_1,44,lower trapezius,0.06958567922142518,,0.13141163557057703,0.07812493238246078,0.06713284769978778,0.07771840439965122,,,0.08327041575407829,0.07469678782509316,0.0432568854853232,,,,0.11222325197806854,
